1 | 3 | 1 2
1 | 6 | 1 2 5
2 | 3 | 3
1 | 100 | 1 5 10 25 50 100
94 | 482062582 | 55087878 82323626 164971541 167691496 179805646 230428227 234290835 254488742 314666191 334321159 341787406 342404266 392977314 398180078 469228566
99 | 893157173 | 18451821 24685265 27401521 54449665 63043327 115290488 140247985 144176720 145274090 154888639 157373155 161351479 180919810 206067722 207287953 238991565 282041552 307450359 328635034 329934332 340413862 342735167 343673909 387986235 420477199 429892013 430837553 455461118 466660799 492701295 530984313 548349842 550522953 556377455 556447472 605400437 611111295 656989405 662508937 665239012 668376114 697948936 728214886 739857798 758748677 799471690 851512047 866738007 869117753
90 | 643344448 | 6260546 27519459 42651166 57360138 72532254 78829261 95465315 97758553 108901491 116009344 127197966 137868362 150309535 152249029 156636253 160082426 166271227 178592405 185064422 186887663 187046921 190618661 195510493 235497707 240512618 297429026 308253870 314382549 331538373 334611693 337068097 364466932 367197397 372956975 378683963 383469587 394595462 399294354 399746288 400801165 407284290 415819400 418583845 420670152 450848421 452286542 453263743 457401435 462242004 474453107 498404045 499622350 509630478 512133626 517668367 519417210 521227154 530622314 535058755 541840467 543678838 549288383 568951935 572273019 585355028 619788564 620683455 624489097 638473706 639791143 641577218 643062002
55 | 813509688 | 52244322 285526383 383760092 602507323 804704545
27 | 579015774 | 2847367 8411121 16736975 46975203 49555340 53722393 58114721 58553590 69925524 70181690 98131870 138310615 145284241 145394935 145802175 146778580 147979651 161418273 161522455 168733141 171967990 176386005 176434628 185755273 216786349 239600192 248185326 251818744 255876924 262297833 277335128 291352522 292550328 293782251 295551120 296501331 306328420 307657944 319314223 322398821 322758803 345985529 347966588 350693795 353981875 362029108 364712186 365195928 368540472 371175031 371823442 377411555 379309148 382913961 394704567 404112493 407082845 425350745 432219034 434078397 434387337 435097166 454662740 457333666 463016926 463176414 469812444 477591628 479421474 482249720 489439600 491683280 495985066 504459101 506372017 509020115 509512338 519073089 521618792 545132111 551539580 556131942 570524869 571277069
94 | 768552192 | 11878244 17306018 25986290 42517117 63814888 63829837 66774125 78595688 93470082 105579013 114641780 141858241 174079871 188045508 204906060 241732657 248929790 256136820 260612260 276506871 281816319 288582236 292540463 292854395 307107425 308320032 312426261 315031550 320016631 330534200 365964598 373902409 377937658 382549720 388845950 426243163 427424064 428545575 456825988 461428164 462791057 481467713 488782447 495893511 500166815 510877544 520452145 527385591 538490143 554730004 574442286 589828905 591547242 612652337 613126769 613905682 633179158 642310360 647137214 665675806 688565972 691683372 723244545 729747408 738329064 747625683 751142695 761038303
